0.000000,0.000000,I
0.083333,0.083333,P
0.166667,0.166667,P
0.250000,0.250000,P
0.333333,0.333333,P
0.416667,0.416667,B
0.500000,0.500000,P
0.583333,0.583333,B
0.666667,0.666667,P
0.750000,0.750000,P
0.833333,0.833333,P
0.916667,0.916667,P
1.000000,1.000000,B
1.083333,1.083333,B
1.166667,1.166667,P
1.250000,1.250000,P
1.333333,1.333333,B
1.416667,1.416667,P
1.500000,1.500000,B
1.583333,1.583333,P
1.666667,1.666667,P
1.750000,1.750000,B
1.833333,1.833333,B
1.916667,1.916667,B
2.500000,2.500000,P
2.583333,2.583333,B
2.666667,2.666667,B
2.750000,2.750000,P
2.833333,2.833333,P
2.916667,2.916667,P
3.000000,3.000000,P
3.083333,3.083333,P
3.166667,3.166667,P
3.250000,3.250000,P
3.333333,3.333333,P
3.416667,3.416667,P
3.500000,3.500000,P
3.583333,3.583333,P
3.666667,3.666667,P
3.750000,3.750000,P
3.833333,3.833333,P
3.916667,3.916667,P
4.000000,4.000000,P
4.083333,4.083333,P
4.166667,4.166667,P
4.250000,4.250000,B
4.333333,4.333333,P
4.416667,4.416667,B
4.500000,4.500000,P
4.583333,4.583333,B
4.666667,4.666667,B
4.750000,4.750000,P
4.833333,4.833333,B
4.916667,4.916667,B
5.000000,5.000000,P
5.083333,5.083333,B
5.333333,5.333333,P
5.500000,5.500000,P
5.666667,5.666667,B
5.833333,5.833333,P
6.000000,6.000000,B
6.166667,6.166667,P
6.333333,6.333333,P
6.500000,6.500000,B
6.666667,6.666667,B
6.833333,6.833333,P
7.000000,7.000000,B
7.166667,7.166667,B
7.333333,7.333333,P
7.500000,7.500000,B
N/A,7.666667,B
N/A,7.833333,P
